Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1699370719.7346246,1,1699370679,186587700,,126.41382941382942,122.97613197613198,0.0
1699370719.7580276,2,1699370679,210936600,,126.39115168539325,122.93574438202248,0.0
1699370719.8079407,3,1699370679,260029400,,126.43017938797045,122.95251494899753,0.0
1699370719.8539305,4,1699370679,306862100,,126.42766853932584,122.98033707865169,0.0
1699370719.8988047,5,1699370679,351730700,,126.45043782837128,122.97302977232924,0.0
1699370719.9471161,6,1699370679,398933000,,126.42786942786942,122.98104598104598,0.0
1699370719.9938679,7,1699370679,446315600,,126.42269852424455,122.95713281799016,0.0
1699370720.040742,8,1699370679,493529100,,126.37372672989112,122.94520547945206,0.0
1699370720.086513,9,1699370679,539122000,,126.44510698000701,122.98947737635918,0.0
1699370720.127675,10,1699370679,579614900,,126.42070175438596,122.9642105263158,0.0
1699370720.1831007,11,1699370679,635790400,,126.42947368421052,122.9459649122807,0.0
1699370720.2069638,12,1699370679,659612000,,126.39845668186601,122.9810592774465,0.0
1699370720.2529237,13,1699370679,704642400,,126.41850683491062,122.9894847528917,0.0
1699370720.2998686,14,1699370679,752065700,,126.41052631578947,122.98771929824561,0.0
1699370720.3453078,15,1699370679,797027400,,126.44471744471744,123.01088101088101,0.0
1699370720.3903008,16,1699370679,843248600,,126.76387912860154,123.00386507378778,0.0
1699370720.4361875,17,1699370679,889053200,,128.9279437609842,123.24920913884007,0.0
1699370720.4834409,18,1699370679,936059100,,132.1402331331685,123.72730483927941,0.0
1699370720.5312958,19,1699370679,983801800,,137.65531914893617,124.54645390070922,0.0
1699370720.578709,20,1699370680,30601800,,143.64098889286993,125.23539949838768,0.0
1699370720.624938,21,1699370680,77774800,,150.1015768243491,126.05207187385405,0.0
1699370720.6709707,22,1699370680,123666600,,156.32060491493382,126.67637051039698,0.0
1699370720.717569,23,1699370680,170376000,,161.9740973312402,127.1267660910518,0.0
1699370720.76539,24,1699370680,218215600,,166.33682092555333,127.5400402414487,0.0
1699370720.8130672,25,1699370680,264467800,,169.54646381578948,127.82648026315789,0.0
1699370720.859555,26,1699370680,312202100,,170.42325196524618,127.97434836574266,0.0
1699370720.9063346,27,1699370680,358885500,,170.5600165562914,128.01779801324503,0.0
1699370720.953166,28,1699370680,405707600,,170.62505184570716,128.02737453338864,0.0
1699370721.000316,29,1699370680,452821700,,170.6850622406639,128.00995850622408,0.0
1699370721.0477066,30,1699370680,500102600,,170.69011170872983,128.04426975589573,0.0
1699370721.0951555,31,1699370680,546361100,,170.69498549523414,128.0215499378367,0.0
1699370721.142048,32,1699370680,593987400,,170.62634631317314,128.0459817729909,0.0
1699370721.1877565,33,1699370680,640443300,,170.4047126911947,127.97395618023977,0.0
1699370721.2348652,34,1699370680,687336100,,170.1344329896907,127.94927835051547,0.0
1699370721.2812486,35,1699370680,733816600,,169.23322422258593,127.86865793780687,0.0
1699370721.3289437,36,1699370680,780525200,,168.82155982033484,127.8909759085341,0.0
1699370721.374793,37,1699370680,827525400,,168.74826317940335,127.86023702492848,0.0
1699370721.4206748,38,1699370680,873437300,,167.25888529886913,127.7156704361874,0.0
1699370721.467612,39,1699370680,920471800,,164.98886237072395,127.42322991249006,0.0
1699370721.5149894,40,1699370680,967239400,,162.83601412318555,127.11926245586504,0.0
1699370721.5633447,41,1699370681,14989600,,160.4629057187017,126.8145285935085,0.0
1699370721.6108649,42,1699370681,62933500,,153.04427369191365,126.2136845956824,0.0
1699370721.6566772,43,1699370681,108381200,,143.54955908289242,125.32169312169312,0.0
1699370721.7049773,44,1699370681,156760600,,132.3859589041096,124.51438356164384,0.0
1699370721.750984,45,1699370681,203771700,,121.33049693669163,123.5136147038802,0.0
1699370721.7978926,46,1699370681,250524600,,111.17894012388163,122.55643496214728,0.0
1699370721.84584,47,1699370681,297348600,,102.06782608695652,121.81808695652174,0.0
1699370721.892072,48,1699370681,344474100,,92.49680397727273,121.09197443181819,0.0
1699370721.9386616,49,1699370681,391308800,,83.52416082626337,120.36517890077462,0.0
1699370721.9858804,50,1699370681,438556500,,75.09500378501136,119.86222558667676,0.0
1699370722.0326166,51,1699370681,485200300,,66.79732388823298,119.37465564738292,0.0
1699370722.0793931,52,1699370681,531602400,,58.79891304347826,118.62834448160535,0.0
1699370722.1253517,53,1699370681,578334300,,53.30605137135394,118.36917718763604,0.0
1699370722.1728,54,1699370681,625321800,,48.49931911030413,118.14571039491602,0.0
1699370722.218771,55,1699370681,671280600,,44.99533582089552,117.98787313432835,0.0
1699370722.2665138,56,1699370681,719193900,,42.23450905624404,117.87654909437559,0.0
1699370722.3135583,57,1699370681,766088800,,40.488542174549,117.7571916138469,0.0
1699370722.359878,58,1699370681,812557800,,38.72587827808016,117.68233547748639,0.0
1699370722.4071069,59,1699370681,859775300,,38.55539070227498,117.60385756676558,0.0
1699370722.4531968,60,1699370681,905904400,,38.45441030723489,117.68037661050545,0.0
1699370722.5002048,61,1699370681,952906100,,38.45386904761905,117.6954365079365,0.0
1699370722.5488505,62,1699370682,422900,,38.41674925668979,117.70366699702676,0.0
1699370722.6006176,63,1699370682,52246400,,38.43799603174603,117.72619047619048,0.0
1699370722.6253686,64,1699370682,77931700,,38.42227722772277,117.76089108910891,0.0
1699370722.6758304,65,1699370682,127237700,,38.448736998514114,117.75681030212976,0.0
1699370722.7130642,66,1699370682,162716000,,38.51237623762376,117.76881188118811,0.0
1699370722.7579582,67,1699370682,210474600,,38.57220573689416,117.76458951533135,0.0
