Time,data
1699370719.734755,3.0
1699370719.758288,3.0
1699370719.807832,3.0
1699370719.8540366,3.0
1699370719.8989038,3.0
1699370719.947209,3.0
1699370719.9938707,3.0
1699370720.0407324,3.0
1699370720.086494,3.0
1699370720.1275067,3.0
1699370720.182956,3.0
1699370720.207016,3.0
1699370720.2527926,3.0
1699370720.3000798,3.0
1699370720.3453386,3.0
1699370720.390501,3.0
1699370720.436242,3.0
1699370720.4833243,3.0
1699370720.5310829,3.0
1699370720.578645,3.0
1699370720.6251545,3.0
1699370720.6710062,3.0
1699370720.7175856,3.0
1699370720.7655106,3.0
1699370720.812867,3.0
1699370720.8595438,3.0
1699370720.906206,3.0
1699370720.953072,3.0
1699370721.000305,3.0
1699370721.047617,3.0
1699370721.0951636,3.0
1699370721.1419857,3.0
1699370721.187697,3.0
1699370721.2348728,3.0
1699370721.281244,3.0
1699370721.3288782,3.0
1699370721.3748474,3.0
1699370721.4208694,3.0
1699370721.467623,3.0
1699370721.5150666,3.0
1699370721.563284,3.0
1699370721.6109643,3.0
1699370721.656528,3.0
1699370721.704893,3.0
1699370721.7511368,3.0
1699370721.7978983,3.0
1699370721.8459382,3.0
1699370721.8919687,3.0
1699370721.9386725,3.0
1699370721.986049,3.0
1699370722.032622,3.0
1699370722.0796142,3.0
1699370722.1255622,3.0
1699370722.1727512,3.0
1699370722.2187436,3.0
1699370722.26661,3.0
1699370722.3137784,3.0
1699370722.3599198,3.0
1699370722.4070504,3.0
1699370722.453488,3.0
1699370722.5003443,3.0
1699370722.5488603,3.0
1699370722.600648,3.0
1699370722.6253188,3.0
1699370722.6758325,3.0
1699370722.713051,3.0
1699370722.7580934,3.0
1699370722.8059602,3.0
1699370722.853048,3.0
1699370722.9024796,3.0
1699370722.9440186,3.0
1699370722.970388,3.0
1699370723.022417,3.0
1699370723.06813,3.0
1699370723.092869,3.0
1699370723.1277938,3.0
1699370723.188436,3.0
1699370723.2235014,3.0
1699370723.251443,3.0
1699370723.30247,3.0
1699370723.34582,3.0
1699370723.3911765,3.0
1699370723.438181,3.0
1699370723.485206,3.0
1699370723.532201,3.0
1699370723.580741,3.0
1699370723.626684,3.0
1699370723.672473,3.0
1699370723.7194679,3.0
1699370723.7665954,3.0
1699370723.8140461,3.0
1699370723.8607123,3.0
1699370723.9063148,3.0
1699370723.953379,3.0
1699370724.000336,3.0
1699370724.0486178,3.0
1699370724.0958064,3.0
1699370724.1449184,3.0
1699370724.1919627,3.0
1699370724.238001,3.0
1699370724.2862756,3.0
1699370724.3330305,3.0
1699370724.3804111,3.0
1699370724.426658,3.0
1699370724.4722588,3.0
1699370724.520297,3.0
1699370724.5683177,3.0
1699370724.6144645,3.0
1699370724.662183,3.0
1699370724.7082393,3.0
1699370724.7538636,3.0
1699370724.800569,3.0
1699370724.8491032,3.0
1699370724.895885,3.0
1699370724.9412847,3.0
1699370724.9878297,3.0
1699370725.0347598,3.0
1699370725.0829368,3.0
1699370725.1303573,3.0
1699370725.1763794,3.0
1699370725.2223735,3.0
1699370725.2692137,3.0
1699370725.3174486,3.0
1699370725.3646789,3.0
1699370725.4127712,3.0
1699370725.4591775,3.0
1699370725.5074732,3.0
1699370725.5536897,3.0
1699370725.600161,3.0
1699370725.6464243,3.0
1699370725.6953802,3.0
1699370725.7425742,3.0
1699370725.7904968,3.0
1699370725.8343084,3.0
1699370725.857279,3.0
1699370725.9041398,3.0
1699370725.9527676,3.0
1699370725.9872158,3.0
1699370726.0469732,3.0
1699370726.0869796,3.0
1699370726.1133683,3.0
1699370726.161332,3.0
1699370726.2072256,3.0
1699370726.2532797,3.0
1699370726.29994,3.0
1699370726.348113,3.0
1699370726.395035,3.0
1699370726.4409678,3.0
1699370726.4877021,3.0
