Time,data
1699458430.050536,-9.0
1699458430.0978725,-9.0
1699458430.144455,-9.0
1699458430.1920714,-9.0
1699458430.2398233,-9.0
1699458430.2854786,-6.0
1699458430.3314278,0.0
1699458430.378465,12.0
1699458430.4202433,23.0
1699458430.477102,42.0
1699458430.5033698,53.0
1699458430.5589452,73.0
1699458430.6013007,96.0
1699458430.6360478,109.0
1699458430.6821418,125.0
1699458430.7276385,144.0
1699458430.775698,163.0
1699458430.823367,186.0
1699458430.8710136,199.0
1699458430.9160347,208.0
1699458430.961781,220.0
1699458431.0093045,228.0
1699458431.0571322,234.0
1699458431.1038046,238.0
1699458431.1495874,240.0
1699458431.1970246,240.0
1699458431.2433062,238.0
1699458431.2918093,234.0
1699458431.3377364,226.0
1699458431.3841395,216.0
1699458431.431129,210.0
1699458431.477909,196.0
1699458431.525478,180.0
1699458431.5733466,162.0
1699458431.6220882,140.0
1699458431.6677701,126.0
1699458431.714403,101.0
1699458431.7606046,77.0
1699458431.8067827,62.0
1699458431.8525596,35.0
1699458431.9000545,12.0
1699458431.9463394,-15.0
1699458431.9933107,-39.0
1699458432.0413637,-56.0
1699458432.0864828,-81.0
1699458432.133827,-106.0
1699458432.1805634,-126.0
1699458432.227278,-140.0
1699458432.2771986,-160.0
1699458432.3243651,-178.0
1699458432.3689756,-194.0
1699458432.414966,-206.0
1699458432.4614778,-218.0
1699458432.5096514,-230.0
1699458432.5572164,-236.0
1699458432.603109,-238.0
1699458432.6498795,-238.0
1699458432.697131,-238.0
1699458432.7437496,-236.0
1699458432.7906346,-232.0
1699458432.8371723,-226.0
1699458432.8841362,-218.0
1699458432.9310834,-206.0
1699458432.9784956,-196.0
1699458433.027654,-178.0
1699458433.0785375,-164.0
1699458433.1239526,-142.0
1699458433.1618152,-129.0
1699458433.187549,-117.0
1699458433.237339,-88.0
1699458433.283028,-76.0
1699458433.3278048,-47.0
1699458433.375301,-23.0
1699458433.4226456,2.0
1699458433.4686558,20.0
1699458433.5156486,48.0
1699458433.5640633,72.0
1699458433.6120198,98.0
1699458433.6720176,119.0
1699458433.7175915,139.0
1699458433.7533686,155.0
1699458433.8001308,173.0
1699458433.8452299,184.0
1699458433.892283,198.0
