Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1699458430.050364,1,1699458388,85206500,,125.89100817438693,124.5870420829549,0.0
1699458430.0977056,2,1699458388,132362500,,125.91109767160569,124.5766555790747,0.0
1699458430.1445475,3,1699458388,179051800,,125.88599939522226,124.58512246749319,0.0
1699458430.1921616,4,1699458388,226862500,,125.94010889292196,124.62068965517241,0.0
1699458430.239781,5,1699458388,273480700,,125.88539461747807,124.59721802237678,0.0
1699458430.2855444,6,1699458388,320295900,,125.91689332124508,124.58839528558477,0.0
1699458430.3315558,7,1699458388,366275800,,125.91099000908265,124.57644565546472,0.0
1699458430.3786843,8,1699458388,413251000,,125.93823796548592,124.57705116560702,0.0
1699458430.4202437,9,1699458388,453825200,,125.8965204236006,124.60272314674735,0.0
1699458430.4768817,10,1699458388,510913000,,125.96125907990314,124.58746973365618,0.0
1699458430.5030608,11,1699458388,537637800,,125.97368421052632,124.59709618874773,0.0
1699458430.558981,12,1699458388,593094900,,126.52634766807995,124.66807995154451,0.0
1699458430.60138,13,1699458388,635425700,,127.29175475687103,124.82875264270614,0.0
1699458430.6362731,14,1699458388,669843200,,127.95542753183747,124.91479684657368,0.0
1699458430.6820617,15,1699458388,716663900,,128.6047144152312,125.08340888485948,0.0
1699458430.7276385,16,1699458388,762571700,,129.52010885999394,125.25975204112488,0.0
1699458430.7758014,17,1699458388,810280900,,132.29874502601774,126.6574839302112,0.0
1699458430.82353,18,1699458388,856766100,,137.17870257037944,128.62637698898408,0.0
1699458430.8709486,19,1699458388,904800200,,144.42448080553808,130.69572057898048,0.0
1699458430.9162421,20,1699458388,950690200,,151.87439300744578,132.95079313693753,0.0
1699458430.9617095,21,1699458388,996741600,,159.07341602413678,134.63224941334227,0.0
1699458431.009124,22,1699458389,43959200,,166.5108695652174,136.2173913043478,0.0
1699458431.0569482,23,1699458389,90617700,,172.37994034302758,137.24086502609993,0.0
1699458431.1037743,24,1699458389,138398100,,176.51829753381065,137.90294351630868,0.0
1699458431.1494355,25,1699458389,184252400,,179.65521575198994,138.585672392124,0.0
1699458431.1968508,26,1699458389,231360200,,181.68402625820568,138.96892778993436,0.0
1699458431.2431643,27,1699458389,277773100,,182.3619768477293,139.2172751558326,0.0
1699458431.291815,28,1699458389,326078100,,182.4585191793042,139.22390722569133,0.0
1699458431.337745,29,1699458389,372176300,,182.4671728450201,139.25145154086647,0.0
1699458431.3842456,30,1699458389,418818600,,182.4836980794998,139.23358642251006,0.0
1699458431.4310749,31,1699458389,465681000,,182.5069165551093,139.22846943328872,0.0
1699458431.4778864,32,1699458389,512411500,,182.47860962566844,139.23573975044565,0.0
1699458431.5254335,33,1699458389,560095200,,182.43889384478143,139.24308652988404,0.0
1699458431.5733852,34,1699458389,606681000,,182.32223701731024,139.28539724811364,0.0
1699458431.6219757,35,1699458389,655483900,,181.81463628396145,139.24014022787028,0.0
1699458431.668247,36,1699458389,701401300,,181.07652622527945,139.02278589853827,0.0
1699458431.7143471,37,1699458389,748155700,,180.34991568296795,138.93676222596966,0.0
1699458431.7606225,38,1699458389,794854900,,180.17038283550693,138.81783761043332,0.0
1699458431.806804,39,1699458389,841041100,,179.05284719377303,138.68373617369932,0.0
1699458431.852568,40,1699458389,887389200,,176.88601645123384,138.13356835095965,0.0
1699458431.8999317,41,1699458389,934353500,,175.26052027543994,137.78462127008416,0.0
1699458431.9463167,42,1699458389,980910200,,173.61828358208956,137.4876865671642,0.0
1699458431.993306,43,1699458390,28022000,,168.1070678796361,136.65850244926523,0.0
1699458432.0415916,44,1699458390,76271100,,158.96032786885246,135.68196721311475,0.0
1699458432.086492,45,1699458390,121321300,,147.1144540942928,134.34398263027296,0.0
1699458432.1338284,46,1699458390,168555700,,134.852587244284,133.06407942238266,0.0
1699458432.1805553,47,1699458390,215321500,,122.0059826503141,131.8333831887526,0.0
1699458432.2272713,48,1699458390,262067100,,110.31479254359591,130.67468430547203,0.0
1699458432.277192,49,1699458390,310854000,,100.76404843216392,129.5107109593294,0.0
1699458432.32433,50,1699458390,358212400,,91.90094637223974,128.72681388012617,0.0
1699458432.3687894,51,1699458390,403242800,,83.13130659767141,128.03589909443727,0.0
1699458432.4147544,52,1699458390,449579400,,73.2006779661017,127.22101694915254,0.0
1699458432.461416,53,1699458390,496224300,,66.2090715804394,126.4578313253012,0.0
1699458432.5093722,54,1699458390,544082900,,60.37149187592319,125.99261447562778,0.0
1699458432.5571032,55,1699458390,591185200,,54.96790217806649,125.63011081390906,0.0
1699458432.6030068,56,1699458390,637730000,,52.49687743950039,125.38914910226386,0.0
1699458432.6498814,57,1699458390,684660500,,47.9081715210356,125.09466019417475,0.0
1699458432.6972792,58,1699458390,731472200,,45.85477178423236,124.96970954356847,0.0
1699458432.7438247,59,1699458390,778268500,,45.633236634894324,124.94902610857854,0.0
1699458432.7906466,60,1699458390,825353700,,45.49272953884503,124.89862899875364,0.0
1699458432.837287,61,1699458390,871769300,,45.40440565253533,124.9031587697423,0.0
1699458432.8840325,62,1699458390,918661100,,45.37390943082676,124.94225176568342,0.0
1699458432.9311616,63,1699458390,965643900,,45.36990856192851,124.93848711554448,0.0
1699458432.9785495,64,1699458391,13075700,,45.322916666666664,124.95833333333333,0.0
1699458433.0273855,65,1699458391,62140900,,45.31738768718802,124.95673876871881,0.0
1699458433.078516,66,1699458391,112980600,,45.35509355509355,125.0099792099792,0.0
1699458433.1239965,67,1699458391,158436800,,45.385862785862784,125.06070686070686,0.0
