Time,data
1699458146.7613518,0.0
1699458146.807624,0.0
1699458146.8545518,0.0
1699458146.901953,0.0
1699458146.9483187,0.0
1699458146.9959884,0.0
1699458147.0454087,0.0
1699458147.090968,6.0
1699458147.1328955,12.0
1699458147.1885328,31.0
1699458147.2293816,44.0
1699458147.2580693,56.0
1699458147.306285,80.0
1699458147.3519206,91.0
1699458147.3978965,115.0
1699458147.4448583,137.0
1699458147.4914982,155.0
1699458147.538527,169.0
1699458147.5854092,185.0
1699458147.631998,198.0
1699458147.6790667,215.0
1699458147.725953,220.0
1699458147.772933,228.0
1699458147.8199723,238.0
1699458147.8664975,240.0
1699458147.9146118,240.0
1699458147.9608085,240.0
1699458148.00705,238.0
1699458148.0543597,232.0
1699458148.1005735,226.0
1699458148.1474397,216.0
1699458148.1941714,203.0
1699458148.2413652,186.0
1699458148.2877052,174.0
1699458148.3352747,156.0
1699458148.3819091,139.0
1699458148.4293644,115.0
1699458148.4779334,96.0
1699458148.5255196,78.0
1699458148.570315,54.0
1699458148.6165323,26.0
1699458148.6636086,12.0
1699458148.7103868,-15.0
1699458148.7572436,-39.0
1699458148.804127,-66.0
1699458148.8515918,-88.0
1699458148.8978364,-105.0
1699458148.9458702,-129.0
1699458148.9915533,-149.0
1699458149.0386398,-169.0
1699458149.085347,-182.0
1699458149.1314635,-196.0
1699458149.1703296,-207.0
1699458149.1987379,-218.0
1699458149.2575867,-226.0
1699458149.2971075,-232.0
1699458149.3356457,-238.0
1699458149.3665957,-238.0
1699458149.4155104,-242.0
1699458149.4548612,-242.0
1699458149.4943833,-238.0
1699458149.5247514,-236.0
1699458149.571715,-230.0
1699458149.6187556,-219.0
1699458149.6654193,-214.0
1699458149.7018237,-206.0
1699458149.760071,-187.0
1699458149.8078644,-170.0
1699458149.8544364,-146.0
1699458149.904152,-135.0
1699458149.9481885,-112.0
1699458149.9934123,-87.0
1699458150.0403707,-70.0
1699458150.087001,-46.0
1699458150.1358669,-22.0
1699458150.1840122,6.0
1699458150.241969,32.0
1699458150.2858918,56.0
1699458150.3254626,74.0
1699458150.3524117,90.0
1699458150.4008434,114.0
1699458150.4453063,128.0
1699458150.4920244,149.0
1699458150.5391452,166.0
1699458150.5859878,178.0
1699458150.6329124,192.0
1699458150.679841,209.0
1699458150.7265303,220.0
1699458150.7733107,229.0
1699458150.8207097,234.0
1699458150.8685298,238.0
1699458150.9154341,240.0
1699458150.9620757,240.0
1699458151.007604,238.0
1699458151.0545218,232.0
1699458151.1019638,224.0
1699458151.147327,217.0
1699458151.186143,204.0
1699458151.2159772,197.0
1699458151.2623835,187.0
1699458151.310916,169.0
1699458151.3545437,151.0
1699458151.400124,137.0
1699458151.44673,115.0
1699458151.4915795,92.0
1699458151.528897,73.0
1699458151.5732343,49.0
1699458151.6187344,32.0
1699458151.6658525,6.0
1699458151.7127182,-22.0
1699458151.7591095,-47.0
1699458151.8059735,-64.0
1699458151.8531468,-88.0
1699458151.8997653,-110.0
1699458151.9468553,-135.0
1699458151.9935536,-149.0
1699458152.0409245,-166.0
1699458152.088789,-184.0
1699458152.1359525,-200.0
1699458152.18052,-208.0
1699458152.2188528,-220.0
1699458152.2477212,-224.0
1699458152.2956047,-232.0
1699458152.3403912,-238.0
1699458152.3863108,-238.0
1699458152.4325507,-242.0
1699458152.4796023,-238.0
1699458152.5262597,-236.0
1699458152.5734704,-230.0
1699458152.6206532,-219.0
1699458152.6689885,-212.0
1699458152.7156115,-197.0
1699458152.7646883,-182.0
1699458152.8086932,-171.0
1699458152.8549812,-152.0
1699458152.9011228,-130.0
1699458152.9480383,-117.0
1699458152.9956415,-93.0
1699458153.0419288,-69.0
1699458153.088785,-46.0
1699458153.136008,-18.0
1699458153.1822488,-4.0
1699458153.2293756,26.0
1699458153.282447,54.0
1699458153.3299036,77.0
1699458153.3805673,101.0
1699458153.4207408,119.0
1699458153.447257,132.0
1699458153.495843,154.0
1699458153.540829,166.0
1699458153.5877595,184.0
